label_id	Predicted Archetype
1	1
2	1
3	1
4	4
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	2
13	2
14	1
15	1
16	2
17	1
18	1
19	1
20	2
21	2
22	1
23	1
24	1
25	3
26	1
27	1
28	4
29	1
30	2
31	2
32	1
33	1
34	1
35	4
36	1
37	2
38	1
39	3
40	1
41	4
42	2
43	1
44	1
45	2
46	1
47	1
48	1
49	2
50	1
51	2
52	2
53	2
54	3
55	2
56	2
57	2
58	2
59	3
60	3
61	4
62	2
63	1
64	2
65	3
66	3
67	2
68	1
69	2
70	3
71	2
72	2
73	1
74	1
75	2
76	2
77	2
78	2
79	2
80	2
81	1
82	3
83	2
84	3
85	2
86	2
87	4
88	2
89	2
90	2
91	2
92	2
93	3
94	2
95	2
96	1
97	2
98	3
99	3
100	2
101	2
102	2
103	2
104	2
105	2
106	1
107	2
108	2
109	4
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	2
